movieId,genres,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Adventure|Animation|Children|Comedy|Fantasy,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2,Adventure|Children|Fantasy,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,Comedy|Romance,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4,Comedy|Drama|Romance,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
5,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Action|Crime|Thriller,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
7,Comedy|Romance,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
8,Adventure|Children,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Action|Adventure|Thriller,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,Comedy|Drama|Romance,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
12,Comedy|Horror,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,Adventure|Animation|Children,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15,Action|Adventure|Romance,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
16,Crime|Drama,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
17,Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
18,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Action|Comedy|Crime|Drama|Thriller,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
21,Comedy|Crime|Thriller,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
22,Crime|Drama|Horror|Mystery|Thriller,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
23,Action|Crime|Thriller,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
24,Drama|Sci-Fi,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
25,Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
26,Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,Children|Drama,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False
30,Crime|Drama,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
31,Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
32,Mystery|Sci-Fi|Thriller,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
34,Children|Drama,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,Crime|Drama,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
38,Children|Comedy,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Comedy|Romance,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
40,Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
41,Drama|War,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
42,Action|Crime|Drama,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
43,Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
44,Action|Adventure|Fantasy,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
45,Comedy|Drama|Thriller,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
46,Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
47,Mystery|Thriller,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
48,Animation|Children|Drama|Musical|Romance,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
49,Drama|Romance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
50,Crime|Mystery|Thriller,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
52,Comedy|Drama|Romance,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
53,Adventure|Drama,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
54,Children|Comedy,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,Drama,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
